IDATprefix,Sample.ID
12174_03@0067866981,4281452394_R01C02
12174_01@0067867005,4281452394_R01C01
12175_02@0067866957,4281452842_R01C01
12175_03@0067866952,4281452842_R02C01
12175_01@0067866976,4281452394_R02C02
12176_02@0067866928,4281452842_R02C02
12176_03@0067866442,4281452661_R01C01
12176_01@0067866933,4281452842_R01C02
12177_02@0067866980,4281452661_R01C02
12177_03@0067866977,4281452661_R02C02
12177_01@0067867001,4281452661_R02C01
12178_02@0067866932,4281452660_R01C02
12178_03@0067866929,4281452660_R02C02
12178_01@0067866956,4281452660_R01C01
12179_02@0067867002,4281452841_R02C01
12179_03@0067866473,4281452841_R01C02
12179_01@0067866443,4281452841_R01C01
12180_02@0067866955,4281452486_R01C01
12180_03@0067866454,4281452486_R02C01
12180_01@0067866978,4281452841_R02C02
12181_02@0067867087,4281452300_R02C01
12181_03@0067867086,4281452300_R01C02
12181_01@0067866484,4281452300_R01C01
12182_02@0067867062,4432265064_R01C02
12182_03@0067867039,4432273593_R01C01
12182_01@0067867063,4432265064_R02C02
12183_02@0067867015,4432265197_R01C02
12183_03@0067867109,4432273624_R01C02
12183_01@0067867038,4432265888_R01C02
12186_02@0067867089,4281452179_R02C01
12186_03@0067867084,4281452179_R01C02
12186_01@0067867108,4281452179_R01C01
12187_02@0067867060,4281452197_R01C01
12187_03@0067867041,4281452197_R02C01
12187_01@0067867065,4281452179_R02C02
12188_02@0067867017,4281452197_R02C02
12188_03@0067867107,4281452332_R01C01
12188_01@0067867036,4281452197_R01C02
12189_02@0067867083,4281452332_R01C02
12189_03@0067867066,4281452332_R02C02
12189_01@0067867090,4281452332_R02C01
12191_02@0067867018,4281452303_R02C02
12191_03@0067867106,4281452081_R01C01
12191_01@0067867035,4281452303_R01C02
12192_02@0067867082,4432265414_R01C02
12192_03@0067867067,4432265197_R02C02
12192_01@0067867091,4432273624_R02C02
12194_02@0067867092,4281452025_R02C01
12194_03@0067867081,4281452025_R01C02
12194_01@0067867105,4281452025_R01C01
12195_02@0067867057,4281452080_R01C01
