Analysis Software: CopyCaller v1.0,,
File name: RT110308_Plate1.txt,,
Plate ID: ,,
Target name: Taqman Copy Number Assay,,
Reference name: Taqman Copy Number Reference,,
File Header:,,
SDS 2.4,AQ Results,1
Filename,RT110308_Plate1,
PlateID,,
Assay Type,Absolute Quantification,
Run DateTime,3/8/11 8:29,
Operator,,
ThermalCycleParams,,
Analysis Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC Ct detection threshold: 32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Most frequent sample copy number: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of samples: 44,,,,,,,,,,,,,,,,,,,,,,,,,,
- Negative control: 1,,,,,,,,,,,,,,,,,,,,,,,,,,
- 2 Copies: 43,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of wells omitted from analysis: 5,,,,,,,,,,,,,,,,,,,,,,,,,,
- Negative control sample well: 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,Well Position,FAM Ct,VIC Ct,Delta Ct,Omitted,Flag,Replicate Comments,Target,Reference,Plate ID,CN Calculated,CN Predicted,Confidence,|Z-Score|,Replicate Count,Replicates Analyzed,FAM Ct Mean,VIC Ct Mean,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,RQ,Min CN,Max CN,CN Range,Sample Comments
wc134-03,43,25.5089,26.0537,-0.5448,,, ,,,,,,,,,,,,,,,,,,,
wc134-03,127,25.3705,25.9188,-0.5484,,, ,,,,,,,,,,,,,,,,,,,
wc134-03,139,24.4938,24.9619,-0.4681,,, ,,,,,,,,,,,,,,,,,,,
wf187-01,36,26.1221,26.4319,-0.3097,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.68,2,> 0.99,1.51,4,4,25.6326,25.9869,-0.3543,0.06,0.25,0.84,1.62,1.78,0.16, 
wf187-01,48,25.9227,26.3563,-0.4336,,, ,,,,,,,,,,,,,,,,,,,
wf187-01,132,25.7659,26.1407,-0.3748,,, ,,,,,,,,,,,,,,,,,,,
wf187-01,144,24.7195,25.0187,-0.2992,,, ,,,,,,,,,,,,,,,,,,,
wf187-02,35,24.8896,25.2193,-0.3297,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.73,2,> 0.99,1.17,4,4,24.7987,25.1935,-0.3947,0.06,0.21,0.86,1.65,1.81,0.15, 
wf187-02,47,24.7956,25.1534,-0.3577,,, ,,,,,,,,,,,,,,,,,,,
wf187-02,131,24.815,25.2477,-0.4327,,, ,,,,,,,,,,,,,,,,,,,
wf187-02,143,24.6947,25.1536,-0.4589,,, ,,,,,,,,,,,,,,,,,,,
wf187-03,34,26.8429,26.9921,-0.1492,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.63,2,> 0.99,1.76,4,4,25.9749,26.2866,-0.3118,0.12,0.29,0.82,1.46,1.74,0.28, 
wf187-03,46,26.2267,26.6292,-0.4025,,, ,,,,,,,,,,,,,,,,,,,
wf187-03,130,26.2894,26.5923,-0.3029,,, ,,,,,,,,,,,,,,,,,,,
wf187-03,142,24.5405,24.933,-0.3925,,, ,,,,,,,,,,,,,,,,,,,
