Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
pu264-03.HS04504215	61	26.3848	26.8237	-0.4388			 																			
pu264-03.HS04504215	145	26.4498	26.8779	-0.4281			 																			
pu264-03.HS04504215	157	26.3758	26.8241	-0.4483			 																			
pu274-01.HS04504215	6	28.5062	29.1293	-0.6231			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.04	3	0.98	0.21	4	4	28.0567	28.6389	-0.5822	0.11	-0.02	1.01	2.74	3.27	0.52	 
pu274-01.HS04504215	18	27.9536	28.6405	-0.6869			 																			
pu274-01.HS04504215	102	27.8378	28.4211	-0.5834			 																			
pu274-01.HS04504215	114	27.9291	28.3647	-0.4356			 																			
pu274-02.HS04504215	5	26.0298	26.2702	-0.2405			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.38	2	< 0.50	1.37	4	3	25.901	26.1333	-0.2323	0.01	0.33	0.79	2.37	2.4	0.03	 
pu274-02.HS04504215	17	25.9091	26.1405	-0.2315			 																			
pu274-02.HS04504215	101	25.7642	25.9891	-0.2248			 																			
pu274-02.HS04504215	113	undetermined	undetermined	undetermined	x	NOVIC	 																			
pu274-03.HS04504215	4	26.1604	26.6801	-0.5197			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.87	3	0.97	0.01	4	4	26.1116	26.6141	-0.5025	0.03	0.06	0.96	2.79	2.91	0.12	 
pu274-03.HS04504215	16	25.999	26.5165	-0.5174			 																			
pu274-03.HS04504215	100	26.2061	26.7203	-0.5142			 																			
pu274-03.HS04504215	112	26.0809	26.5394	-0.4585			 																			
pu293-01.HS04504215	9	27.6753	28.1636	-0.4883			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.96	3	0.98	0.08	4	4	27.4652	28.0086	-0.5434	0.05	0.02	0.99	2.85	3.1	0.25	 
pu293-01.HS04504215	21	27.4378	28.0477	-0.6099			 																			
pu293-01.HS04504215	105	27.4	27.939	-0.539			 																			
pu293-01.HS04504215	117	27.3476	27.8842	-0.5366			 																			
pu293-02.HS04504215	8	26.8058	27.1621	-0.3563			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.71	3	0.92	0.21	4	4	26.4028	26.8183	-0.4155	0.08	0.15	0.9	2.58	2.86	0.28	 
pu293-02.HS04504215	20	26.5167	26.8621	-0.3454			 																			
pu293-02.HS04504215	104	26.1088	26.5733	-0.4645			 																			
pu293-02.HS04504215	116	26.18	26.6759	-0.4959			 																			
pu293-03.HS04504215	7	26.8119	27.2357	-0.4239			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.91	3	0.97	0.02	4	4	26.3537	26.8753	-0.5216	0.08	0.04	0.97	2.72	3.08	0.35	 
pu293-03.HS04504215	19	26.1959	26.7966	-0.6007			 																			
pu293-03.HS04504215	103	26.1513	26.705	-0.5538			 																			
pu293-03.HS04504215	115	26.2558	26.7639	-0.5081			 																			
sp085-01.HS04504215	12	28.1359	27.5963	0.5396			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.36	1	< 0.50	2.19	4	4	28.3643	27.7842	0.5801	0.04	1.14	0.45	1.31	1.4	0.08	 
sp085-01.HS04504215	24	28.365	27.8196	0.5454			 																			
sp085-01.HS04504215	108	28.4882	27.8817	0.6065			 																			
sp085-01.HS04504215	120	28.4682	27.8392	0.629			 																			
sp085-02.HS04504215	11	26.9859	27.365	-0.3791			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.68	3	0.92	0.15	4	4	26.6308	27.0315	-0.4007	0.08	0.16	0.89	2.51	2.87	0.36	 
sp085-02.HS04504215	23	26.4399	26.9402	-0.5003			 																			
sp085-02.HS04504215	107	26.5251	26.9405	-0.4154			 																			
sp085-02.HS04504215	119	26.5725	26.8806	-0.3081			 																			
sp085-03.HS04504215	10	28.2074	28.5572	-0.3498			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.57	3	0.83	0.4	4	4	27.7131	28.0527	-0.3396	0.15	0.22	0.86	2.22	2.84	0.62	 
sp085-03.HS04504215	22	27.574	27.9698	-0.3959			 																			
sp085-03.HS04504215	106	27.6435	27.7723	-0.1288			 																			
sp085-03.HS04504215	118	27.4275	27.9113	-0.4838			 																			
tw054-01.HS04504215	52	27.282	27.4634	-0.1814			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.37	2	< 0.50	1.32	4	4	27.0617	27.2869	-0.2252	0.05	0.34	0.79	2.3	2.47	0.17	 
tw054-01.HS04504215	64	27.0028	27.1923	-0.1895			 																			
tw054-01.HS04504215	148	26.9602	27.2443	-0.284			 																			
tw054-01.HS04504215	160	27.0018	27.2476	-0.2458			 																			
tw054-03.HS04504215	53	26.6512	26.9767	-0.3255			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.74	3	0.93	0.13	4	4	26.2857	26.717	-0.4314	0.09	0.13	0.91	2.54	2.91	0.37	 
tw054-03.HS04504215	65	26.2317	26.752	-0.5203			 																			
tw054-03.HS04504215	149	26.1533	26.5575	-0.4042			 																			
tw054-03.HS04504215	161	26.1064	26.5818	-0.4754			 																			
TW227-01.HS04504215	27	28.5619	27.8527	0.7092			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.27	1	< 0.50	1.76	4	4	28.3568	27.6831	0.6737	0.06	1.24	0.42	1.24	1.35	0.11	 
TW227-01.HS04504215	39	28.4228	27.726	0.6968			 																			
TW227-01.HS04504215	123	28.1732	27.5844	0.5888			 																			
TW227-01.HS04504215	135	28.2691	27.5693	0.6998			 																			
TW227-02.HS04504215	26	27.5083	27.6087	-0.1004			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.24	2	< 0.50	0.77	4	4	27.3531	27.4945	-0.1414	0.1	0.42	0.75	2.06	2.38	0.33	 
TW227-02.HS04504215	38	27.4602	27.4794	-0.0192			 																			
TW227-02.HS04504215	122	27.0539	27.2686	-0.2147			 																			
TW227-02.HS04504215	134	27.3898	27.6212	-0.2314			 																			
TW227-03.HS04504215	25	27.1435	27.1605	-0.017			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.15	2	0.57	0.62	4	4	27.0545	27.141	-0.0865	0.06	0.48	0.72	2.05	2.25	0.19	 
TW227-03.HS04504215	37	26.7187	26.8656	-0.1468			 																			
TW227-03.HS04504215	121	27.1638	27.2362	-0.0723			 																			
TW227-03.HS04504215	133	27.1919	27.3016	-0.1097			 																			
wc079-01.HS04504215	30	27.5193	26.9367	0.5827			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.44	1	< 0.50	2.48	4	4	27.2047	26.7064	0.4983	0.14	1.06	0.48	1.35	1.65	0.3	 
wc079-01.HS04504215	42	26.8952	26.6002	0.295			 																			
wc079-01.HS04504215	126	27.2486	26.686	0.5626			 																			
wc079-01.HS04504215	138	27.1557	26.6028	0.5529			 																			
wc079-02.HS04504215	29	27.0124	27.3802	-0.3678			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.59	3	0.86	0.52	4	4	26.8431	27.1981	-0.355	0.06	0.21	0.86	2.5	2.73	0.23	 
wc079-02.HS04504215	41	26.9058	27.2072	-0.3014			 																			
wc079-02.HS04504215	125	26.7855	27.2161	-0.4306			 																			
wc079-02.HS04504215	137	26.6687	26.9889	-0.3202			 																			
wc079-03.HS04504215	28	26.2927	26.6153	-0.3226			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.56	3	0.84	0.55	4	4	26.0938	26.4266	-0.3328	0.07	0.23	0.85	2.42	2.72	0.3	 
wc079-03.HS04504215	40	25.9738	26.3968	-0.4231			 																			
wc079-03.HS04504215	124	25.9727	26.3066	-0.3339			 																			
wc079-03.HS04504215	136	26.136	26.3876	-0.2516			 																			
wc134-01.HS04504215	33	27.6362	27.0642	0.572			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.25	1	0.52	1.59	4	4	27.5062	26.8104	0.6957	0.09	1.26	0.42	1.19	1.36	0.18	 
wc134-01.HS04504215	45	27.4516	26.7648	0.6868			 																			
wc134-01.HS04504215	129	27.499	26.7251	0.7739			 																			
wc134-01.HS04504215	141	27.4379	26.6877	0.7502			 																			
wc134-02.HS04504215	32	26.3377	26.4881	-0.1504			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.29	2	< 0.50	0.97	4	4	26.029	26.2027	-0.1737	0.12	0.39	0.76	2.07	2.51	0.45	 
wc134-02.HS04504215	44	25.964	26.2734	-0.3095			 																			
wc134-02.HS04504215	128	26.0017	26.0289	-0.0273			 																			
wc134-02.HS04504215	140	25.8127	26.0202	-0.2075			 																			
wc134-03.HS04504215	31	26.6218	26.7579	-0.1362			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.32	2	< 0.50	1.11	4	4	26.1477	26.3397	-0.192	0.1	0.37	0.77	2.15	2.5	0.36	 
wc134-03.HS04504215	43	25.6359	25.8842	-0.2482			 																			
wc134-03.HS04504215	127	26.4069	26.4876	-0.0807			 																			
wc134-03.HS04504215	139	25.9262	26.229	-0.3028			 																			
wf187-01.HS04504215	36	27.4089	26.3651	1.0438			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.99	1	> 0.99	0.07	4	4	27.3287	26.2986	1.0301	0.09	1.59	0.33	0.94	1.09	0.14	 
wf187-01.HS04504215	48	27.3944	26.4943	0.9002			 																			
wf187-01.HS04504215	132	27.2086	26.1022	1.1064			 																			
wf187-01.HS04504215	144	27.3029	26.2328	1.07			 																			
wf187-02.HS04504215	35	25.4468	25.393	0.0538			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.05	2	0.72	0.31	4	4	25.1979	25.2161	-0.0182	0.05	0.55	0.68	1.95	2.12	0.16	 
wf187-02.HS04504215	47	24.1777	24.2044	-0.0267			 																			
wf187-02.HS04504215	131	25.7094	25.7484	-0.039			 																			
wf187-02.HS04504215	143	25.4576	25.5185	-0.0609			 																			
wf187-03.HS04504215	34	28.1729	28.221	-0.0481			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.09	2	0.66	0.33	4	4	27.7565	27.8024	-0.0459	0.1	0.52	0.7	1.93	2.27	0.35	 
wf187-03.HS04504215	46	27.6655	27.7105	-0.0451			 																			
wf187-03.HS04504215	130	27.5595	27.486	0.0735			 																			
wf187-03.HS04504215	142	27.6281	27.7922	-0.1641			 																			
