Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
pu264-02.HS02102421	158	26.3005	26.611	-0.3105			 																			
pu264-03.HS02102421	49	26.1998	26.3363	-0.1365			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.9	2	> 0.99	0.04	4	4	26.1149	26.2901	-0.1752	0.07	0.07	0.95	1.85	2.05	0.19	 
pu264-03.HS02102421	61	25.9807	26.1279	-0.1472			 																			
pu264-03.HS02102421	145	26.0865	26.3662	-0.2797			 																			
pu264-03.HS02102421	157	26.1927	26.3299	-0.1373			 																			
pu274-01.HS02102421	6	26.0536	26.5043	-0.4508			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.15	2	> 0.99	0.76	4	4	26.0915	26.4421	-0.3506	0.11	-0.1	1.08	2.01	2.3	0.3	 
pu274-01.HS02102421	18	25.7338	25.995	-0.2612			 																			
pu274-01.HS02102421	102	26.1717	26.6107	-0.439			 																			
pu274-01.HS02102421	114	26.4072	26.6584	-0.2513			 																			
pu274-02.HS02102421	5	25.4667	25.7315	-0.2648			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2	2	> 0.99	0.11	4	3	25.3999	25.6452	-0.2453	0.04	0	1	1.93	2.04	0.11	 
pu274-02.HS02102421	17	25.3619	25.6378	-0.2759			 																			
pu274-02.HS02102421	101	25.3712	25.5664	-0.1951			 																			
pu274-02.HS02102421	113	undetermined	undetermined	undetermined	x	NOVIC	 																			
pu274-03.HS02102421	4	25.9398	26.0892	-0.1494			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.97	2	> 0.99	0.04	4	4	25.6976	25.9198	-0.2222	0.06	0.02	0.98	1.87	2.07	0.2	 
pu274-03.HS02102421	16	25.6436	25.8873	-0.2436			 																			
pu274-03.HS02102421	100	25.6842	25.8836	-0.1994			 																			
pu274-03.HS02102421	112	25.5228	25.8191	-0.2963			 																			
pu293-01.HS02102421	9	26.3988	26.6619	-0.2632			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.06	2	> 0.99	0.29	4	4	26.3778	26.6632	-0.2853	0.06	-0.04	1.03	1.97	2.15	0.19	 
pu293-01.HS02102421	21	26.3879	26.7408	-0.3529			 																			
pu293-01.HS02102421	105	26.3022	26.6046	-0.3024			 																			
pu293-01.HS02102421	117	26.4223	26.6453	-0.223			 																			
pu293-02.HS02102421	8	26.2926	26.5977	-0.3051			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.04	2	> 0.99	0.06	4	4	26.111	26.3845	-0.2735	0.17	-0.03	1.02	1.72	2.21	0.49	 
pu293-02.HS02102421	20	26.032	26.3981	-0.3662			 																			
pu293-02.HS02102421	104	26.0799	26.1099	-0.03			 																			
pu293-02.HS02102421	116	26.0397	26.4323	-0.3926			 																			
pu293-03.HS02102421	7	26.532	26.8337	-0.3017			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.96	2	> 0.99	0.02	4	4	26.2042	26.4235	-0.2194	0.15	0.03	0.98	1.78	2.21	0.43	 
pu293-03.HS02102421	19	25.9628	26.3525	-0.3896			 																			
pu293-03.HS02102421	103	26.1586	26.2687	-0.1101			 																			
pu293-03.HS02102421	115	26.1633	26.2392	-0.076			 																			
sp085-01.HS02102421	12	26.2857	26.4832	-0.1975			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.09	2	> 0.99	0.31	4	4	26.4833	26.7924	-0.3091	0.15	-0.06	1.04	1.91	2.36	0.45	 
sp085-01.HS02102421	24	26.4372	26.9221	-0.4849			 																			
sp085-01.HS02102421	108	26.5744	26.9508	-0.3763			 																			
sp085-01.HS02102421	120	26.6358	26.8136	-0.1777			 																			
sp085-02.HS02102421	11	26.3015	26.6105	-0.309			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.13	2	> 0.99	0.57	4	4	25.9992	26.3347	-0.3356	0.12	-0.09	1.06	1.92	2.34	0.43	 
sp085-02.HS02102421	23	25.9755	26.4509	-0.4753			 																			
sp085-02.HS02102421	107	25.942	26.3157	-0.3738			 																			
sp085-02.HS02102421	119	25.7777	25.9619	-0.1841			 																			
sp085-03.HS02102421	10	27.4619	27.7505	-0.2886			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.07	2	> 0.99	0.24	4	4	27.0422	27.3406	-0.2984	0.13	-0.05	1.04	1.86	2.32	0.46	 
sp085-03.HS02102421	22	26.8038	27.2627	-0.4589			 																			
sp085-03.HS02102421	106	26.9729	27.1152	-0.1423			 																			
sp085-03.HS02102421	118	26.9303	27.2342	-0.3039			 																			
tw054-01.HS02102421	52	26.1328	26.3342	-0.2013			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2	2	> 0.99	0.11	4	4	26.2802	26.5285	-0.2483	0.03	0	1	1.94	2.05	0.11	 
tw054-01.HS02102421	64	26.1656	26.4291	-0.2635			 																			
tw054-01.HS02102421	148	26.3783	26.661	-0.2826			 																			
tw054-01.HS02102421	160	26.444	26.6898	-0.2458			 																			
tw054-03.HS02102421	53	26.2631	26.5634	-0.3003			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.09	2	> 0.99	0.31	4	4	26.0292	26.3369	-0.3077	0.08	-0.06	1.04	1.95	2.25	0.3	 
tw054-03.HS02102421	65	25.9431	26.3597	-0.4166			 																			
tw054-03.HS02102421	149	26.0083	26.3114	-0.3032			 																			
tw054-03.HS02102421	161	25.9022	26.1131	-0.2109			 																			
TW227-01.HS02102421	27	27.4789	26.705	0.774			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.97	1	> 0.99	0.03	4	4	27.5987	26.8078	0.7909	0.04	1.04	0.49	0.94	1	0.06	 
TW227-01.HS02102421	39	27.3024	26.5554	0.747			 																			
TW227-01.HS02102421	123	27.8776	27.0763	0.8013			 																			
TW227-01.HS02102421	135	27.7359	26.8946	0.8414			 																			
TW227-02.HS02102421	26	26.8065	27.1524	-0.3459			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.24	2	0.99	1.13	4	4	26.7117	27.12	-0.4082	0.05	-0.16	1.12	2.14	2.33	0.18	 
TW227-02.HS02102421	38	26.6183	27.0313	-0.413			 																			
TW227-02.HS02102421	122	26.6678	27.1327	-0.4649			 																			
TW227-02.HS02102421	134	26.7544	27.1634	-0.4091			 																			
TW227-03.HS02102421	25	26.2309	26.616	-0.3852			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2	2	> 0.99	0.04	4	4	26.2821	26.5282	-0.2461	0.09	0	1	1.91	2.2	0.29	 
TW227-03.HS02102421	37	26.0344	26.262	-0.2276			 																			
TW227-03.HS02102421	121	26.5123	26.6914	-0.1791			 																			
TW227-03.HS02102421	133	26.3507	26.5431	-0.1924			 																			
wc079-01.HS02102421	30	27.7129	26.9466	0.7663			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.05	1	> 0.99	0.52	4	4	27.2831	26.5984	0.6847	0.08	0.93	0.52	0.99	1.12	0.13	 
wc079-01.HS02102421	42	27.2175	26.6317	0.5858			 																			
wc079-01.HS02102421	126	27.0956	26.4349	0.6607			 																			
wc079-01.HS02102421	138	27.1063	26.3802	0.726			 																			
wc079-02.HS02102421	29	26.6088	26.9249	-0.3161			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.02	2	> 0.99	0.05	4	4	26.4711	26.7294	-0.2583	0.1	-0.01	1.01	1.84	2.13	0.29	 
wc079-02.HS02102421	41	26.2838	26.6232	-0.3394			 																			
wc079-02.HS02102421	125	26.4106	26.5356	-0.125			 																			
wc079-02.HS02102421	137	26.5812	26.8338	-0.2527			 																			
wc079-03.HS02102421	28	25.1901	25.367	-0.1769			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.92	2	> 0.99	0.05	4	4	25.2713	25.4619	-0.1906	0.04	0.06	0.96	1.86	1.98	0.12	 
wc079-03.HS02102421	40	25.1404	25.2809	-0.1405			 																			
wc079-03.HS02102421	124	25.3496	25.5778	-0.2282			 																			
wc079-03.HS02102421	136	25.4051	25.6219	-0.2169			 																			
wc134-01.HS02102421	33	26.8447	26.1625	0.6822			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.1	1	> 0.99	0.91	4	4	26.9666	26.3523	0.6143	0.14	0.86	0.55	1.02	1.26	0.24	 
wc134-01.HS02102421	45	26.8876	26.2477	0.6399			 																			
wc134-01.HS02102421	129	27.2041	26.4838	0.7203			 																			
wc134-01.HS02102421	141	26.9302	26.5152	0.415			 																			
wc134-02.HS02102421	32	25.572	25.6661	-0.0941			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2	2	> 0.99	0.05	4	4	25.459	25.7049	-0.2458	0.16	0	1	1.8	2.24	0.44	 
wc134-02.HS02102421	44	25.3479	25.7591	-0.4112			 																			
wc134-02.HS02102421	128	25.3795	25.7361	-0.3566			 																			
wc134-02.HS02102421	140	25.5367	25.6583	-0.1215			 																			
wc134-03.HS02102421	31	25.747	25.9317	-0.1846			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.98	2	> 0.99	0.05	4	4	25.5179	25.7524	-0.2345	0.08	0.01	0.99	1.87	2.09	0.22	 
wc134-03.HS02102421	43	25.3729	25.6636	-0.2907			 																			
wc134-03.HS02102421	127	25.4767	25.6287	-0.152			 																			
wc134-03.HS02102421	139	25.4749	25.7856	-0.3107			 																			
wf187-01.HS02102421	36	26.1293	25.3907	0.7386			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.1	1	> 0.99	0.95	4	4	26.1975	25.5776	0.6198	0.08	0.87	0.55	1.01	1.14	0.13	 
wf187-01.HS02102421	48	26.1935	25.5934	0.6001			 																			
wf187-01.HS02102421	132	26.1309	25.5677	0.5632			 																			
wf187-01.HS02102421	144	26.3361	25.7586	0.5775			 																			
wf187-02.HS02102421	35	24.5615	24.9545	-0.393			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.06	2	> 0.99	0.21	4	4	24.5011	24.7905	-0.2894	0.11	-0.04	1.03	1.91	2.21	0.3	 
wf187-02.HS02102421	47	24.4007	24.7835	-0.3828			 																			
wf187-02.HS02102421	131	24.5596	24.7606	-0.2011			 																			
wf187-02.HS02102421	143	24.4826	24.6632	-0.1806			 																			
wf187-03.HS02102421	34	26.8318	27.1377	-0.3059			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.2	2	> 0.99	0.82	4	4	26.8327	27.2131	-0.3805	0.1	-0.13	1.1	2.08	2.42	0.34	 
wf187-03.HS02102421	46	26.851	27.373	-0.522			 																			
wf187-03.HS02102421	130	26.7116	27.0292	-0.3176			 																			
wf187-03.HS02102421	142	26.9363	27.3127	-0.3764			 																			
